pipeline,resource,organisation,value,entity
parish,,government-organisation:D303,E04000404,130000346
parish,,government-organisation:D303,E04000405,130000347
parish,,government-organisation:D303,E04000406,130000348
parish,,government-organisation:D303,E04000407,130000349
parish,,government-organisation:D303,E04000408,130000350
parish,,government-organisation:D303,E04000409,130000351
parish,,government-organisation:D303,E04000410,130000352
parish,,government-organisation:D303,E04000411,130000353
parish,,government-organisation:D303,E04000412,130000354
parish,,government-organisation:D303,E04000413,130000355
parish,,government-organisation:D303,E04000414,130000356
parish,,government-organisation:D303,E04000415,130000357
parish,,government-organisation:D303,E04000416,130000358
parish,,government-organisation:D303,E04000417,130000359
parish,,government-organisation:D303,E04000418,130000360
parish,,government-organisation:D303,E04000419,130000361
parish,,government-organisation:D303,E04000420,130000362
parish,,government-organisation:D303,E04000421,130000363
parish,,government-organisation:D303,E04000422,130000364
parish,,government-organisation:D303,E04000423,130000365
parish,,government-organisation:D303,E04000424,130000366
parish,,government-organisation:D303,E04000425,130000367
parish,,government-organisation:D303,E04000426,130000368
parish,,government-organisation:D303,E04000427,130000369
parish,,government-organisation:D303,E04000428,130000370
parish,,government-organisation:D303,E04000429,130000371
parish,,government-organisation:D303,E04000430,130000372
parish,,government-organisation:D303,E04000431,130000373
parish,,government-organisation:D303,E04000432,130000374
parish,,government-organisation:D303,E04000433,130000375
parish,,government-organisation:D303,E04000434,130000376
parish,,government-organisation:D303,E04000435,130000377
parish,,government-organisation:D303,E04000436,130000378
parish,,government-organisation:D303,E04000437,130000379
parish,,government-organisation:D303,E04000438,130000380
parish,,government-organisation:D303,E04000439,130000381
parish,,government-organisation:D303,E04000440,130000382
parish,,government-organisation:D303,E04000441,130000383
parish,,government-organisation:D303,E04000442,130000384
parish,,government-organisation:D303,E04000443,130000385
parish,,government-organisation:D303,E04000444,130000386
parish,,government-organisation:D303,E04000445,130000387
parish,,government-organisation:D303,E04000446,130000388
parish,,government-organisation:D303,E04000447,130000389
parish,,government-organisation:D303,E04000448,130000390
parish,,government-organisation:D303,E04000449,130000391
parish,,government-organisation:D303,E04000450,130000392
parish,,government-organisation:D303,E04000451,130000393
parish,,government-organisation:D303,E04000452,130000394
parish,,government-organisation:D303,E04000453,130000395
parish,,government-organisation:D303,E04000454,130000396
parish,,government-organisation:D303,E04000455,130000397
parish,,government-organisation:D303,E04000456,130000398
parish,,government-organisation:D303,E04000457,130000399
parish,,government-organisation:D303,E04000458,130000400
parish,,government-organisation:D303,E04000459,130000401
parish,,government-organisation:D303,E04000460,130000402
parish,,government-organisation:D303,E04000461,130000403
parish,,government-organisation:D303,E04000462,130000404
parish,,government-organisation:D303,E04000463,130000405
parish,,government-organisation:D303,E04000464,130000406
parish,,government-organisation:D303,E04000465,130000407
parish,,government-organisation:D303,E04000466,130000408
parish,,government-organisation:D303,E04000467,130000409
parish,,government-organisation:D303,E04000468,130000410
parish,,government-organisation:D303,E04000469,130000411
parish,,government-organisation:D303,E04000470,130000412
parish,,government-organisation:D303,E04000471,130000413
parish,,government-organisation:D303,E04000472,130000414
parish,,government-organisation:D303,E04000473,130000415
